# fake_clients: 9
# total_rounds: 30
round,loss,accuracy
1,0.6685724258422852,0.5825099349021912
2,0.6605657935142517,0.5977285504341125
3,0.6517701148986816,0.6148779392242432
4,0.6416170001029968,0.6304372549057007
5,0.6304100155830383,0.6459965705871582
6,0.6187283992767334,0.6567859053611755
7,0.6071291565895081,0.6649630665779114
8,0.5952561497688293,0.6746166944503784
9,0.583285927772522,0.6855195760726929
10,0.5710920095443726,0.6951732039451599
11,0.5586716532707214,0.7013061046600342
12,0.5465177893638611,0.7105053663253784
13,0.5346547365188599,0.7195911407470703
14,0.5232424139976501,0.7266325950622559
15,0.5123197436332703,0.7315161824226379
16,0.5024557113647461,0.736854076385498
17,0.4936741292476654,0.7441226840019226
18,0.4852903485298157,0.7459397912025452
19,0.4773803949356079,0.7487791180610657
20,0.4703426659107208,0.7494605183601379
21,0.46362704038619995,0.7529812455177307
22,0.4573919475078583,0.7552527189254761
23,0.4513355791568756,0.7583191394805908
24,0.44621872901916504,0.7607041597366333
25,0.4407336413860321,0.7622941732406616
26,0.4356750249862671,0.7655877470970154
27,0.4302167296409607,0.7699034810066223
28,0.42546141147613525,0.7709255814552307
29,0.4204343855381012,0.772742748260498
30,0.41568300127983093,0.7762634754180908
