# fake_clients: 3
# total_rounds: 30
round,loss,accuracy
1,0.6835673451423645,0.5395798087120056
2,0.6684370040893555,0.5926178097724915
3,0.6494162678718567,0.6333901286125183
4,0.624522864818573,0.663713812828064
5,0.5986514687538147,0.6830210089683533
6,0.5741442441940308,0.7033503651618958
7,0.549389660358429,0.718682587146759
8,0.5234711170196533,0.7356047630310059
9,0.4954005181789398,0.754798412322998
10,0.46612659096717834,0.7741056084632874
11,0.4378264248371124,0.7902328372001648
12,0.41190868616104126,0.8069278597831726
13,0.3889658451080322,0.8201022148132324
14,0.36879172921180725,0.8285065293312073
15,0.3505856692790985,0.8370243906974792
16,0.3347480595111847,0.8449744582176208
17,0.3197646737098694,0.854060173034668
18,0.306305855512619,0.8606473803520203
19,0.29432567954063416,0.8642816543579102
20,0.28313592076301575,0.8698467016220093
21,0.2721726894378662,0.8759795427322388
22,0.26257604360580444,0.8791595697402954
23,0.2531639039516449,0.8833616971969604
24,0.24428541958332062,0.8850653171539307
25,0.23689600825309753,0.8885860443115234
26,0.22952106595039368,0.8917660713195801
27,0.2221848964691162,0.8948324918746948
28,0.21614889800548553,0.8971039056777954
29,0.2107786238193512,0.8985803723335266
30,0.20468831062316895,0.9009653329849243
