# fake_clients: 0
# total_rounds: 30
round,loss,accuracy
1,0.6806552410125732,0.5662691593170166
2,0.6481508612632751,0.650425910949707
3,0.6055288910865784,0.695513904094696
4,0.5586220622062683,0.7261782884597778
5,0.5108967423439026,0.7585462927818298
6,0.4595917761325836,0.7920499444007874
7,0.4051503539085388,0.827143669128418
8,0.353403776884079,0.8572402000427246
9,0.31019771099090576,0.8784781098365784
10,0.27554795145988464,0.8923339247703552
11,0.24737578630447388,0.9039182066917419
12,0.2239096611738205,0.9150482416152954
13,0.20415401458740234,0.9216354489326477
14,0.1866992712020874,0.9304940104484558
15,0.17036624252796173,0.9369676113128662
16,0.15541987121105194,0.945258378982544
17,0.14211885631084442,0.9515048265457153
18,0.13041308522224426,0.9547984004020691
19,0.1193498820066452,0.9587734341621399
20,0.10957182943820953,0.9620670080184937
21,0.10093101859092712,0.9658148884773254
22,0.09226276725530624,0.9689949154853821
23,0.08476533740758896,0.9718341827392578
24,0.07787337899208069,0.9742192029953003
25,0.0722181499004364,0.9759227633476257
26,0.06632804870605469,0.9776263236999512
27,0.061151910573244095,0.9802384972572327
28,0.05595684051513672,0.9825099110603333
29,0.05131058767437935,0.9838727712631226
30,0.046805888414382935,0.9859170913696289
