# fake_clients: 7
# total_rounds: 30
round,loss,accuracy
1,0.6703933477401733,0.5661556124687195
2,0.6565573215484619,0.6061328649520874
3,0.6429464221000671,0.6263486742973328
4,0.6270021796226501,0.6508801579475403
5,0.6093859076499939,0.6696195602416992
6,0.5910292863845825,0.6876774430274963
7,0.5717183947563171,0.7016468048095703
8,0.552356481552124,0.7124361395835876
9,0.5339850187301636,0.726746141910553
10,0.5160840749740601,0.7362862229347229
11,0.49916619062423706,0.7482112646102905
12,0.483635276556015,0.7570698261260986
13,0.46955665946006775,0.7649062871932983
14,0.4569735825061798,0.7726292014122009
15,0.44560256600379944,0.7797842025756836
16,0.4350960850715637,0.7859171032905579
17,0.4259023070335388,0.7879613637924194
18,0.4175150990486145,0.7902328372001648
19,0.40949374437332153,0.7921635508537292
20,0.40242910385131836,0.795684278011322
21,0.39506804943084717,0.8003407120704651
22,0.3884943127632141,0.8032935857772827
23,0.38284924626350403,0.8064736127853394
24,0.37642425298690796,0.8081771731376648
25,0.37103039026260376,0.8088585734367371
26,0.3654395639896393,0.8128336071968079
27,0.36047205328941345,0.8148779273033142
28,0.3555375933647156,0.8161271810531616
29,0.3508352041244507,0.8185122013092041
30,0.3460357189178467,0.8207836747169495
